"date","close","volume","open","high","low"
"2014/12/30","104.3200","18342860.0000","104.7200","104.9600","104.1750"
"2014/12/29","105.0200","17057110.0000","104.9400","105.2500","104.8750"
"2014/12/26","105.0400","13912750.0000","104.6000","105.2600","104.5700"
"2014/12/24","104.3000","14291330.0000","104.3400","104.7000","104.2699"
"2014/12/23","104.2100","26736440.0000","104.9600","104.9700","104.0900"
"2014/12/22","104.5800","33852980.0000","104.1500","104.6100","104.0999"
"2014/12/19","104.3200","51411300.0000","103.9700","104.7400","103.7100"
"2014/12/18","104.2500","49509380.0000","103.2600","104.2600","102.9800"
"2014/12/17","101.8000","79671670.0000","100.0500","102.0900","99.9200"
"2014/12/16","99.9800","65247480.0000","100.9700","102.4700","99.9600"
"2014/12/15","101.6100","52898630.0000","103.2000","103.5800","101.3150"
"2014/12/12","102.6700","46865010.0000","102.8100","103.9900","102.6600"
"2014/12/11","103.8000","47414550.0000","103.6100","105.0400","103.5900"
"2014/12/10","103.3100","39157290.0000","104.7700","105.0300","103.1200"
"2014/12/09","104.9600","45993410.0000","103.4100","105.0400","103.0401"
"2014/12/08","104.6300","32643610.0000","105.1100","105.5700","104.0750"
"2014/12/05","105.3800","25611000.0000","105.5400","105.7000","105.1450"
"2014/12/04","105.3700","30991750.0000","105.3200","105.7800","104.9300"
"2014/12/03","105.4200","32924410.0000","105.3900","105.5650","104.7626"
"2014/12/02","105.2300","26001290.0000","104.9200","105.4168","104.7000"
"2014/12/01","104.8100","35956720.0000","105.7200","105.9199","104.4200"
"2014/11/28","106.0100","17360420.0000","105.7950","106.2450","105.7300"
"2014/11/26","105.5200","18951060.0000","104.9400","105.5800","104.8340"
"2014/11/25","104.8400","17509870.0000","104.8400","105.1500","104.5700"
"2014/11/24","104.6800","17868860.0000","104.1500","104.7300","104.0600"
"2014/11/21","103.8700","34046790.0000","104.5900","104.6900","103.5400"
"2014/11/20","103.6700","22796170.0000","102.7700","103.7600","102.6900"
"2014/11/19","103.2100","23698190.0000","103.5700","103.5700","102.7300"
"2014/11/18","103.6800","26312280.0000","103.0000","103.8200","102.9910"
"2014/11/17","102.9100","23337120.0000","102.9800","103.2100","102.4200"
"2014/11/14","103.2200","19235860.0000","102.8700","103.2200","102.5300"
"2014/11/13","102.9000","28011600.0000","102.6500","103.2800","102.4200"
"2014/11/12","102.4600","22026310.0000","101.8700","102.5700","101.8700"
"2014/11/11","102.2800","15437340.0000","101.9800","102.2800","101.7000"
"2014/11/10","101.9600","20318780.0000","101.6500","102.0900","101.3800"
"2014/11/07","101.6000","20927680.0000","101.8700","101.9100","101.0700"
"2014/11/06","101.6900","24654850.0000","101.3200","101.7200","100.9210"
"2014/11/05","101.3700","25760560.0000","102.0100","102.0300","101.0150"
"2014/11/04","101.3600","22722680.0000","101.3600","101.6244","100.6700"
"2014/11/03","101.7000","33388860.0000","101.5300","101.9701","101.4300"
"2014/10/31","101.4000","54245570.0000","101.6700","101.7500","101.0700"
"2014/10/30","100.0200","35913460.0000","99.3700","100.2600","99.1400"
"2014/10/29","99.8100","40517390.0000","99.8400","100.1200","99.1000"
"2014/10/28","100.1800","33985690.0000","99.1000","100.2000","99.0800"
"2014/10/27","98.6900","29498560.0000","98.4000","98.8700","98.0200"
"2014/10/24","98.6200","43143890.0000","97.9650","98.6900","97.6400"
"2014/10/23","97.8200","47796250.0000","97.3200","98.3600","97.1700"
"2014/10/22","96.3700","39124630.0000","97.1600","97.3000","96.3050"
"2014/10/21","96.8700","53455250.0000","95.5400","96.8700","95.3200"
"2014/10/20","94.3900","41213530.0000","92.9600","94.4700","92.8000"
"2014/10/17","93.0000","68204350.0000","92.9900","93.8900","92.4600"
"2014/10/16","91.7900","93091630.0000","90.4300","92.5800","90.3900"
"2014/10/15","92.3700","108716700.0000","91.5500","92.7600","90.2400"
"2014/10/14","92.9700","71625160.0000","93.6000","94.1699","92.7100"
"2014/10/13","92.9600","77712690.0000","94.2900","94.9900","92.8800"
"2014/10/10","94.4400","77323610.0000","96.2900","96.8300","94.4200"
"2014/10/09","96.8600","61945470.0000","98.3300","98.5700","96.7100"
"2014/10/08","98.4500","64866350.0000","96.6600","98.7600","96.0600"
"2014/10/07","96.5700","45089290.0000","97.4850","97.7799","96.5600"
"2014/10/06","97.9600","36017920.0000","98.4700","98.7200","97.6587"
"2014/10/03","98.1700","41605390.0000","97.7600","98.5700","97.4400"
"2014/10/02","97.2100","54462240.0000","97.1900","97.5100","95.9700"
"2014/10/01","97.2100","58083390.0000","98.5400","98.6100","96.9000"
"2014/09/30","98.7900","41697090.0000","98.9200","99.3000","98.3200"
"2014/09/29","98.6500","33327550.0000","97.8000","98.9200","97.7500"
"2014/09/26","98.7800","52887450.0000","98.0500","98.9600","97.8900"
