"date","close","volume","open","high","low"
"16:00","541.94","3,790,301","541.12","542","529"
"2015/10/06","537.4800","4541673.0000","545.5000","551.5000","533.3300"
"2015/10/05","543.6800","3383967.0000","536.9900","545.9100","536.0000"
"2015/10/02","532.5400","4592095.0000","512.9900","532.6000","508.1000"
"2015/10/01","520.7200","3744188.0000","511.0000","520.8000","506.0000"
"2015/09/30","511.8900","3996159.0000","505.4400","512.8000","501.6724"
"2015/09/29","496.0700","4455453.0000","506.0000","511.4800","490.5000"
"2015/09/28","504.0600","5416847.0000","520.0200","520.2800","494.3337"
"2015/09/25","524.2500","3922075.0000","542.5700","542.8000","521.4000"
"2015/09/24","533.7500","3494202.0000","530.5500","534.5600","522.8700"
"2015/09/23","536.0700","2233675.0000","538.3000","541.2100","534.0000"
"2015/09/22","538.4000","3833073.0000","539.7100","543.5500","532.6600"
"2015/09/21","548.3900","3276266.0000","544.3300","549.7800","539.5900"
"2015/09/18","540.2600","6154510.0000","534.6200","546.2370","531.3500"
"2015/09/17","538.8700","4146066.0000","526.9800","546.9700","526.5700"
"2015/09/16","527.3900","2249062.0000","521.9800","528.3000","518.5200"
"2015/09/15","522.3700","2849063.0000","523.2500","527.9200","517.2000"
"2015/09/14","521.3800","3127206.0000","529.4400","532.4500","518.5800"
"2015/09/11","529.4400","3224850.0000","521.0700","529.4400","520.6050"
"2015/09/10","522.2400","2568076.0000","515.1500","526.1300","514.7800"
"2015/09/09","516.8900","4348685.0000","524.0000","529.9500","515.0600"
"2015/09/08","517.5400","3805809.0000","508.6900","518.3500","508.5144"
"2015/09/04","499.0000","2687005.0000","497.6500","502.8500","495.6400"
"2015/09/03","504.7200","3143336.0000","514.5000","515.8400","502.5700"
"2015/09/02","510.5500","3693798.0000","505.0900","510.8600","497.7200"
"2015/09/01","496.5400","3850262.0000","499.1400","510.0000","493.4300"
"2015/08/31","512.8900","2995288.0000","516.4400","519.4100","509.0700"
"2015/08/28","518.0100","2744599.0000","517.5000","521.5000","513.0400"
"2015/08/27","518.3700","6094488.0000","513.7100","522.6900","507.2610"
"2015/08/26","500.7700","6336253.0000","484.0200","503.7200","478.7600"
"2015/08/25","466.3700","5663689.0000","487.4900","489.4400","466.2500"
"2015/08/24","463.3700","10073890.0000","463.5800","489.7600","451.0000"
"2015/08/21","494.4700","6699569.0000","507.3600","512.3300","494.4700"
"2015/08/20","515.7800","4396219.0000","530.3900","533.2500","515.7700"
"2015/08/19","532.9200","2319977.0000","533.7400","537.2500","529.0000"
"2015/08/18","535.0200","2070178.0000","535.0400","539.4900","533.0000"
"2015/08/17","535.2200","2578646.0000","531.2900","538.7400","527.1200"
"2015/08/14","531.5200","1992026.0000","528.2500","534.1100","528.2500"
"2015/08/13","529.6600","2889732.0000","527.3700","534.6600","525.4846"
"2015/08/12","525.9100","4013276.0000","523.7500","527.5000","513.0600"
"2015/08/11","527.4600","2671531.0000","523.6500","528.9800","522.0000"
"2015/08/10","524.0000","2608601.0000","528.5200","532.2764","523.0000"
"2015/08/07","522.6200","3961597.0000","529.1600","529.4599","518.2100"
"2015/08/06","529.4600","3814499.0000","539.3000","542.7400","527.5200"
"2015/08/05","537.0100","2887675.0000","538.8000","539.1400","534.1190"
"2015/08/04","531.9000","2926462.0000","529.6900","536.9500","529.1630"
"2015/08/03","535.0300","3004564.0000","537.4500","540.4400","529.3600"
"2015/07/31","536.1500","2980011.0000","539.0900","542.8400","534.5201"
"2015/07/30","536.7600","3738558.0000","527.6500","539.2000","524.2900"
"2015/07/29","529.0000","3742816.0000","530.9200","532.9655","525.0200"
"2015/07/28","526.0300","5265864.0000","536.0000","536.3900","523.1200"
"2015/07/27","531.4100","7485538.0000","527.7500","544.9500","526.6000"
"2015/07/24","529.4200","21854940.0000","578.9900","580.5700","529.3500"
"2015/07/23","482.1800","8904893.0000","491.6600","491.6600","475.7000"
"2015/07/22","488.2700","3098513.0000","485.9900","492.5000","484.9000"
"2015/07/21","488.0000","3160014.0000","487.9000","488.8800","482.5500"
"2015/07/20","488.1000","4737976.0000","492.5700","493.2000","485.4000"
"2015/07/17","483.0100","4927238.0000","477.7000","485.4200","477.2500"
"2015/07/16","475.4800","4081118.0000","465.5000","475.8800","464.8000"
"2015/07/15","461.1900","2983710.0000","463.0400","464.7000","460.2000"
"2015/07/14","465.5700","4730098.0000","462.3200","469.6000","458.1600"
"2015/07/13","455.5700","3946441.0000","448.2900","457.8700","447.5400"
"2015/07/10","443.5100","2398160.0000","440.4900","444.7200","439.0000"
"2015/07/09","434.3900","2266851.0000","434.9000","438.7200","434.1500"
"2015/07/08","429.7000","2380426.0000","434.3500","435.9900","428.8300"
