"date","close","volume","open","high","low"
"16:00","110.78","46,698,631","111.75","111.77","109.41"
"2015/10/06","111.3100","48702200.0000","110.6300","111.7400","109.7650"
"2015/10/05","110.7800","52033100.0000","109.8800","111.3698","109.0700"
"2015/10/02","110.3800","57774940.0000","108.0100","111.0136","107.5500"
"2015/10/01","109.5800","63849470.0000","109.0700","109.6200","107.3100"
"2015/09/30","110.3000","66300930.0000","110.1700","111.5400","108.7300"
"2015/09/29","109.0600","73230280.0000","112.8300","113.5100","107.8600"
"2015/09/28","112.4400","51861990.0000","113.8500","114.5700","112.4400"
"2015/09/25","114.7100","56005550.0000","116.4400","116.6900","114.0200"
"2015/09/24","115.0000","50061580.0000","113.2500","115.5000","112.3700"
"2015/09/23","114.3200","35678360.0000","113.6300","114.7200","113.3000"
"2015/09/22","113.4000","50278030.0000","113.3800","114.1800","112.5201"
"2015/09/21","115.2100","46594220.0000","113.6700","115.3700","113.6600"
"2015/09/18","113.4500","73991000.0000","112.2100","114.3000","111.8700"
"2015/09/17","113.9200","63712340.0000","115.6600","116.4900","113.7150"
"2015/09/16","116.4100","37080720.0000","116.2500","116.5400","115.4400"
"2015/09/15","116.2800","43218350.0000","115.9300","116.5300","114.4200"
"2015/09/14","115.3100","58279570.0000","116.5800","116.8900","114.8600"
"2015/09/11","114.2100","49793750.0000","111.7900","114.2100","111.7600"
"2015/09/10","112.5700","62800770.0000","110.2700","113.2825","109.9000"
"2015/09/09","110.1500","84757780.0000","113.7600","114.0200","109.7700"
"2015/09/08","112.3100","54507300.0000","111.6500","112.5600","110.3200"
"2015/09/04","109.2700","49904460.0000","108.9700","110.4500","108.5100"
"2015/09/03","110.3700","53142590.0000","112.4900","112.7800","110.0400"
"2015/09/02","112.3400","61681250.0000","110.2300","112.3400","109.1310"
"2015/09/01","107.7200","76562170.0000","110.1500","111.8800","107.3600"
"2015/08/31","112.7600","56111590.0000","112.0300","114.5300","112.0000"
"2015/08/28","113.2900","53075960.0000","112.1700","113.3100","111.5400"
"2015/08/27","112.9200","83825220.0000","112.2300","113.2400","110.0200"
"2015/08/26","109.6900","96531890.0000","107.0850","109.8900","105.0500"
"2015/08/25","103.7400","102731700.0000","111.1100","111.1100","103.5000"
"2015/08/24","103.1200","161882500.0000","94.8700","108.8000","92.0000"
"2015/08/21","105.7600","127246600.0000","110.4300","111.9000","105.6450"
"2015/08/20","112.6500","68176940.0000","114.0800","114.3500","111.6300"
"2015/08/19","115.0100","48079330.0000","116.1000","116.5200","114.6800"
"2015/08/18","116.5000","34525630.0000","116.4300","117.4400","116.0100"
"2015/08/17","117.1600","40827260.0000","116.0400","117.6500","115.5000"
"2015/08/14","115.9600","42876370.0000","114.3200","116.3100","114.0100"
"2015/08/13","115.1500","48407640.0000","116.0400","116.4000","114.5400"
