"date","close","volume","open","high","low"
"2015/07/24","109.3400","8109471.0000","111.5500","111.6800","108.9000"
"2015/07/23","110.1000","8281009.0000","110.9100","112.1800","109.8400"
"2015/07/22","111.5000","10396820.0000","112.1400","113.8800","110.5608"
"2015/07/21","112.5100","14022880.0000","110.2100","113.7100","109.3200"
"2015/07/20","110.5500","22649490.0000","114.7000","114.7000","110.1400"
"2015/07/17","114.7700","25093820.0000","117.3400","117.8800","114.2400"
"2015/07/16","115.8100","63003600.0000","111.0200","116.4900","107.6800"
"2015/07/15","98.1300","30004360.0000","99.9700","100.7500","97.0500"
"2015/07/14","100.3714","19708205.0000","101.2714","101.6357","99.6528"
"2015/07/13","101.0871","33046443.0000","98.0985","102.3085","98.0788"
"2015/07/10","97.2285","21601306.0000","97.5228","98.5028","96.9000"
"2015/07/09","95.7271","16683280.0000","94.9000","95.8457","94.2857"
"2015/07/08","93.5071","12980307.0000","93.4714","93.9957","92.2843"
"2015/07/07","94.0914","21567594.0000","95.0128","95.4271","92.6228"
"2015/07/06","94.5714","11792449.0000","93.4728","94.9285","93.3400"
"2015/07/02","94.0443","11046584.0000","93.9985","94.1985","93.2143"
"2015/07/01","93.6357","14671045.0000","94.8057","95.2385","93.2185"
"2015/06/30","93.8485","16855522.0000","93.3571","94.3557","92.7857"
"2015/06/29","92.2314","24551044.0000","91.5057","92.9128","91.1171"
"2015/06/26","93.0885","30249571.0000","95.3000","95.3143","93.0885"
"2015/06/25","94.8914","41576043.0000","95.4814","96.0000","93.4585"
"2015/06/24","96.9443","77076393.0000","100.0143","100.8914","96.3971"
"2015/06/23","97.3128","14465665.0000","96.3357","97.3900","95.7500"
"2015/06/22","96.4143","16681033.0000","95.0428","96.6928","94.1885"
"2015/06/19","93.8714","19756211.0000","96.2428","96.4179","93.8214"
"2015/06/18","94.7428","8959758.0000","94.6514","95.3414","94.3685"
"2015/06/17","94.2714","9889806.0000","95.1328","95.1328","93.9574"
"2015/06/16","95.2728","16009152.0000","94.2428","95.6071","93.6914"
"2015/06/15","93.4314","19035540.0000","92.8571","93.5914","91.6585"
"2015/06/12","94.4185","10267757.0000","94.9157","95.3428","94.1243"
